run_num,model name,num epochs,epoch stop,batch size,learning rate,weight_decay,beta1,beta2,min lr,kernel size,max ch,norm ref,norm lambda,n heads,drop prob,n trans layers,attention type,loss_func,loss,loss_val,dice,loss SD,loss_val SD,dice SD,Avg Error,Avg FA rate,Avg MD rate,run time,eval run time
0,AttU_Net,120,120,32,7.408610883086478e-05,3.3989642216510847e-06,0.923880537446416,0.9893668258646072,2.6957531981168463e-10,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.0567234829068183,0.0564098358154296,0.9436848759651184,0.0182930462330818,0.0188538496785912,0.013351838006255,1.0,1.0,1.0,1957.6050758361816,-1.0
1,AttU_Net,120,120,64,7.013383597533049e-05,0.0196101841557999,0.579270627515133,0.9236978319153653,7.848785374526893e-07,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.1454082727432251,0.1449141204357147,0.8875844478607178,0.0218991711983971,0.0639986990819216,0.095282501370457,1.0,1.0,1.0,1460.3349118232727,-1.0
2,AttU_Net,120,120,64,2.137579917729236e-05,4.514408927059861e-05,0.947993537346718,0.9930342220758412,1.3233614250005235e-09,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.4335694313049316,0.4319806694984436,0.6909115314483643,0.0104247205871355,0.0117828379762166,0.0187584148986665,1.0,1.0,1.0,1503.6555926799774,-1.0
3,AttU_Net,120,120,64,0.0001066193532833,4.630464592778547e-06,0.7762781635825926,0.9463701916799276,1.2140629286021771e-09,11,128,0.01,0,4,0.1,1,Mult,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.0006239432841539,0.0004976018099114,0.974384307861328,0.0087003596487387,0.0057976027915385,0.0112310695760462,0.0179433576531382,0.0429920477137176,0.0705144135188866,1447.2003319263458,140.97381043434143
4,AttU_Net,120,120,64,0.0065098556714257,0.0078653791380791,0.981351348318685,0.95335014240091,8.796290051604944e-09,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.1432801783084869,0.142400860786438,0.8672176599502563,0.0064757890536882,0.2415282554923197,0.2510381515130337,1.0,1.0,1.0,1454.6088387966156,-1.0
5,AttU_Net,120,120,32,0.0087354755099739,1.0556407421904616e-06,0.975573492770838,0.9953482389116854,3.88041954395354e-11,11,128,0.01,0,4,0.1,1,Mult,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.0039402456022799,0.0037339143455028,0.9374065399169922,0.0038414401068515,0.0054257363297173,0.0103069515792029,1.0,1.0,1.0,1898.9876363277435,-1.0
6,AttU_Net,120,120,64,0.0004279701457807,0.0704091048339923,0.987940382597901,0.9998016730099628,3.080786457814707e-09,11,128,0.01,0,4,0.1,1,Mult,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.1170238256454467,0.1158389598131179,0.877100944519043,0.0061750159387191,0.0905084444507842,0.0491332443158017,1.0,1.0,1.0,1463.155662536621,-1.0
7,AttU_Net,120,120,32,0.0013409443826166,0.0014928499075579,0.9369846201846836,0.9893260383742072,2.447378368350083e-07,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.0877472162246704,0.0868194848299026,0.9154739379882812,0.0115350249034174,0.029216604498745,0.0168223950385785,1.0,1.0,1.0,1967.6042799949648,-1.0
8,AttU_Net,120,120,64,1.0748092320936795e-05,1.6603875800518256e-06,0.7805359528265965,0.9662357274602682,7.849541897928151e-07,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.7416666150093079,0.7368106842041016,0.7104150652885437,0.0038801226742822,0.0053054667708175,0.0326930525914098,1.0,1.0,1.0,1481.775300502777,-1.0
9,AttU_Net,120,120,64,4.326390196986354e-05,1.78807110421475e-07,0.8984570809382502,0.959321428822399,1.0921382797297228e-10,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.1527629494667053,0.1524577140808105,0.9221113920211792,0.0202545768378538,0.0212779445137281,0.0422637487311022,1.0,1.0,1.0,1497.6742205619812,-1.0
10,AttU_Net,120,120,64,1.970569482087735e-05,7.724965647954366e-05,0.7443483657636563,0.999372699640818,5.868747624618637e-07,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.4962113201618194,0.4945703148841858,0.890945315361023,0.0113836782922469,0.0121395978106497,0.0485729997578179,1.0,1.0,1.0,1506.8416271209717,-1.0
11,AttU_Net,120,120,32,0.0019154364500595,0.0101943841986445,0.8768800556165491,0.9953396183012412,2.762294977706824e-09,11,128,0.01,0,4,0.1,1,Mult,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.2143873274326324,0.2093100547790527,0.9051376581192015,0.0175766348551849,0.1848645377531134,0.0763670886608356,1.0,1.0,1.0,1979.767683982849,-1.0
12,AttU_Net,120,120,64,2.7635217989604106e-05,0.0026151020404446,0.8546646725634748,0.9997509315036704,2.366861231915627e-07,11,128,0.01,0,4,0.1,1,Mult,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.3637789487838745,0.3611672520637512,0.9416263103485109,0.0194017535926422,0.0197189939206382,0.0621446579200834,1.0,1.0,1.0,1503.6614804267883,-1.0
13,AttU_Net,120,120,32,0.0005610181896398,5.993450787020504e-05,0.9838296080683016,0.9998426534254434,4.0662327250749386e-08,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.1162473931908607,0.1162427216768264,0.9339883327484132,0.0226967342860027,0.0244010607996677,0.0077900294097521,1.0,1.0,1.0,1952.7538831233976,-1.0
