run_num,dice,Avg Error,Avg FA rate,Avg MD rate
367,0.987434924,0.016108699,0.047278827,0.059766402
31,0.988642097,0.01625546,0.050074553,0.061505964
61,0.986033082,0.016693674,0.047030318,0.059766402
192,0.988126397,0.016688586,0.050074553,0.062313618
253,0.951095581,0.019280522,0.03777336,0.074614811
32,0.990306914,0.017665116,0.048583499,0.060884692
298,0.97538507,0.019275244,0.04137674,0.070576541
279,0.970876813,0.018584949,0.037276342,0.078590954
322,0.978379369,0.017857895,0.046657555,0.061878728
224,0.989682198,0.016619769,0.045849901,0.061257455
20,0.988127828,0.01696444,0.051006461,0.065482107
260,0.989802003,0.017329782,0.046657555,0.062313618
305,0.985248804,0.016320916,0.049701789,0.057902584
300,0.983891964,0.016128621,0.045477137,0.056411531
273,0.988752306,0.01770078,0.050757952,0.062562127
155,0.979990244,0.017608836,0.041500994,0.067097416
21,0.985809684,0.01737617,0.050944334,0.061630219
326,0.975934923,0.018005655,0.045601392,0.070949304
248,0.970817447,0.017947605,0.037835487,0.069955268
169,0.986970782,0.018054806,0.044545229,0.067408052
313,0.987032592,0.017356684,0.047465209,0.065482107
233,0.98717308,0.019084986,0.048272863,0.063866799
162,0.989399433,0.017987835,0.051192843,0.063494036
259,0.990169048,0.017900779,0.048086481,0.0625
247,0.990962803,0.016234202,0.044607356,0.065979125
95,0.985803723,0.017114046,0.045539264,0.056597913
26,0.988005638,0.016761201,0.050695825,0.060263419
157,0.989269793,0.017470701,0.046160537,0.067718688
348,0.984156966,0.01755641,0.044358847,0.068215706
93,0.981338322,0.018903565,0.036468688,0.068588469
222,0.976575494,0.015892194,0.046346918,0.067532306
24,0.987125218,0.015513791,0.048956262,0.064860835
334,0.976770937,0.018720092,0.038394632,0.07082505
66,0.986565888,0.015769691,0.044172465,0.062934891
335,0.986640692,0.019069389,0.047403082,0.062872763
204,0.987900078,0.018198791,0.04765159,0.061195328
164,0.981663108,0.016849752,0.047527336,0.055728131
161,0.985344946,0.01827334,0.042681412,0.066724652
123,0.982822418,0.017536078,0.049763917,0.066662525
276,0.990713835,0.016721161,0.052186879,0.065233598
195,0.982754767,0.017924508,0.049329026,0.066973161
36,0.967354655,0.017912218,0.036220179,0.072067594
184,0.978864074,0.019481031,0.040879722,0.076540755
104,0.970682204,0.017239094,0.044234592,0.073869284
255,0.989201903,0.018956264,0.047340954,0.06653827
382,0.987922132,0.018696241,0.047092445,0.065047217
174,0.98404175,0.018134975,0.053802187,0.062810636
72,0.967359006,0.015936679,0.041687376,0.06722167
76,0.985955954,0.01796586,0.048521372,0.065482107
65,0.987597823,0.01673979,0.052124751,0.061505964
80,0.963985682,0.017532584,0.036965706,0.073620775
25,0.981339574,0.016473698,0.03889165,0.058585984
