run_num,dice,Avg Error,Avg FA rate,Avg MD rate,dice Position,Avg Error Position,Avg FA rate Position,Avg MD rate Position,sum positions
65,0.983376682,0.016063347,0.037959742,0.056784294,37,32,36,13,118
317,0.977431536,0.013786443,0.041066103,0.059393638,49,1,43,32,125
50,0.975896835,0.016192749,0.031747018,0.057529821,52,39,21,14,126
4,0.968799591,0.015236433,0.031498509,0.058213221,67,18,20,23,128
117,0.974965334,0.015445475,0.041998012,0.056038767,54,22,46,6,128
64,0.956520796,0.015596278,0.028702783,0.057654076,76,25,10,17,128
23,0.98538518,0.016573601,0.035536779,0.057902584,30,49,31,19,129
366,0.950701952,0.014391424,0.029821074,0.058337475,86,7,15,24,132
203,0.95911479,0.014687823,0.03125,0.059083002,74,11,19,28,132
380,0.973061442,0.014904488,0.041625249,0.057591948,58,15,44,16,133
305,0.972137928,0.014803854,0.032306163,0.059455765,62,14,24,33,133
151,0.977794886,0.015361881,0.036903579,0.059393638,48,20,35,31,134
214,0.970756948,0.015305994,0.036779324,0.058026839,63,19,34,20,136
228,0.982831657,0.014998107,0.042992048,0.060014911,38,16,52,35,141
112,0.961851716,0.014304396,0.030504473,0.061443837,71,5,17,49,142
25,0.969226539,0.015860299,0.033113817,0.058088966,66,30,26,21,143
184,0.974192321,0.015856734,0.032554672,0.059766402,56,29,25,34,144
59,0.95539844,0.014364035,0.032244036,0.060387674,78,6,23,40,147
376,0.973891258,0.01565888,0.045104374,0.052497515,57,26,62,2,147
86,0.959300518,0.014737399,0.029137674,0.061568091,73,13,12,50,148
2,0.982455254,0.016346313,0.043551193,0.056722167,39,42,56,12,149
266,0.983689189,0.015676078,0.038581014,0.062065109,34,27,37,53,151
121,0.969597578,0.01618476,0.0319334,0.059083002,65,38,22,27,152
338,0.967832804,0.014664871,0.036033797,0.060946819,68,10,33,44,155
222,0.950487375,0.01400099,0.029075547,0.062810636,87,2,11,55,155
24,0.983807206,0.01583972,0.040941849,0.062189364,33,28,41,54,156
159,0.981078506,0.01662695,0.043054175,0.05666004,41,51,53,11,156
286,0.976449251,0.016825447,0.041003976,0.055728131,50,60,42,5,157
318,0.95160079,0.016180493,0.028640656,0.059269384,83,37,9,30,159
340,0.984446168,0.015007526,0.039512922,0.066041252,32,17,38,72,159
177,0.951306701,0.014641006,0.028516402,0.0631834,84,9,8,59,160
115,0.952021003,0.014035211,0.030628728,0.0631834,82,3,18,58,161
345,0.98134768,0.015507324,0.049826044,0.058648111,40,24,72,25,161
108,0.974965215,0.016155402,0.035785288,0.060574056,55,34,32,41,162
76,0.953807294,0.014195456,0.026217694,0.066227634,81,4,5,75,165
290,0.95128125,0.015412759,0.023918986,0.063245527,85,21,1,60,167
239,0.965843081,0.014529993,0.03485338,0.063556163,69,8,29,62,168
34,0.984973192,0.016480325,0.057281312,0.05666004,31,46,82,10,169
100,0.972253084,0.014690675,0.033797217,0.065233598,61,12,27,69,169
316,0.98048985,0.015917127,0.051068588,0.058088966,43,31,74,22,170
110,0.983668327,0.016443591,0.043364811,0.060014911,35,45,55,36,171
182,0.985984445,0.016228574,0.044980119,0.061133201,25,40,61,47,173
260,0.987741828,0.016326006,0.047589463,0.06138171,15,41,70,48,174
291,0.988734007,0.016393515,0.046160537,0.062997018,8,43,67,56,174
257,0.989567876,0.016863042,0.042743539,0.063059145,5,62,51,57,175
267,0.989182055,0.01616429,0.051441352,0.063307654,6,35,75,61,177
259,0.985594034,0.01611402,0.049577535,0.061133201,28,33,71,45,177
262,0.985439777,0.01677986,0.047154573,0.058834493,29,55,69,26,179
130,0.988101721,0.015471948,0.046968191,0.066973161,14,23,68,77,182
155,0.988265991,0.016483692,0.043861829,0.064798708,11,47,57,67,182
204,0.98651582,0.016167152,0.043116302,0.06610338,19,36,54,73,182
268,0.988320649,0.016787931,0.042619284,0.064985089,10,56,50,68,184
351,0.985747457,0.016830915,0.04181163,0.061754473,27,61,45,52,185
224,0.986332297,0.016610502,0.041998012,0.065544235,20,50,47,70,187
331,0.986112475,0.017563495,0.052683897,0.057716203,22,70,78,18,188
149,0.988479733,0.017397866,0.045663519,0.061133201,9,67,66,46,188
264,0.985897362,0.016515164,0.050012425,0.060636183,26,48,73,42,189
281,0.987119436,0.016793454,0.039823559,0.066600398,17,57,39,76,189
219,0.988200366,0.017628763,0.039947813,0.063680417,13,73,40,63,189
307,0.97544378,0.016428727,0.069085487,0.056597913,53,44,84,9,190
98,0.989704251,0.0175815,0.053864314,0.060263419,4,71,79,37,191
168,0.983605623,0.017736513,0.04541501,0.057591948,36,77,64,15,192
335,0.986085176,0.016657438,0.051689861,0.060387674,23,54,77,39,193
347,0.990800977,0.018338869,0.044234592,0.061630219,1,83,58,51,193
158,0.986721098,0.017680019,0.044234592,0.060946819,18,74,59,43,194
68,0.988801718,0.016638143,0.045601392,0.066041252,7,52,65,71,195
173,0.988265634,0.016934054,0.042557157,0.06610338,12,63,49,74,198
163,0.978549719,0.017209462,0.065482107,0.056100895,46,64,83,7,200
208,0.986063302,0.017318335,0.04249503,0.064550199,24,66,48,65,203
258,0.98762393,0.017935195,0.055852386,0.059145129,16,78,80,29,203
26,0.986273289,0.017514071,0.051503479,0.060325547,21,69,76,38,204
150,0.990020096,0.017719931,0.04429672,0.064736581,3,76,60,66,205
382,0.99002558,0.018188237,0.045352883,0.063866799,2,80,63,64,209
200,0.980969667,0.018208102,0.056597913,0.056473658,42,81,81,8,212
187,0.972327054,0.017282018,0.107107356,0.05125497,60,65,87,1,213
392,0.976062417,0.017703133,0.095613817,0.055044732,51,75,86,4,216
242,0.978807449,0.018907183,0.069333996,0.053926441,44,87,85,3,219
387,0.956112862,0.016651068,0.025720676,0.08902833,77,53,3,87,220
69,0.978681266,0.017406919,0.034977634,0.075173956,45,68,30,78,221
385,0.954509377,0.016810786,0.027460239,0.082753479,79,58,7,85,229
231,0.954262733,0.016812118,0.026279821,0.088841948,80,59,6,86,231
116,0.958719492,0.017595089,0.025037276,0.079833499,75,72,2,83,232
320,0.972533941,0.017943864,0.030193837,0.077224155,59,79,16,80,234
390,0.969900966,0.018299515,0.025782803,0.081200298,64,82,4,84,234
45,0.977992177,0.018573015,0.034232107,0.07554672,47,85,28,79,239
