run_num,dice,Avg Error,Avg FA rate,Avg MD rate
0,0.953949571,0.016083126,0.047713718,0.059269384
2,0.982455254,0.016346313,0.043551193,0.056722167
4,0.968799591,0.015236433,0.031498509,0.058213221
13,0.965509534,0.017287332,0.050509443,0.05597664
23,0.98538518,0.016573601,0.035536779,0.057902584
24,0.983807206,0.01583972,0.040941849,0.062189364
25,0.969226539,0.015860299,0.033113817,0.058088966
26,0.986273289,0.017514071,0.051503479,0.060325547
27,0.981102467,0.017224727,0.047340954,0.061692346
32,0.980017006,0.015066892,0.045042247,0.062624254
33,0.961363614,0.016307831,0.038270378,0.060511928
34,0.984973192,0.016480325,0.057281312,0.05666004
36,0.988408208,0.01854514,0.045725646,0.062810636
38,0.967212081,0.016916495,0.037152087,0.061568091
41,0.976713479,0.018036794,0.051130716,0.068029324
45,0.977992177,0.018573015,0.034232107,0.07554672
50,0.975896835,0.016192749,0.031747018,0.057529821
51,0.977931023,0.017102653,0.052249006,0.05846173
55,0.957676768,0.02026534,0.053988569,0.058710239
59,0.95539844,0.014364035,0.032244036,0.060387674
61,0.977421761,0.015722384,0.039512922,0.061195328
63,0.97046715,0.016566228,0.043737575,0.057281312
64,0.956520796,0.015596278,0.028702783,0.057654076
65,0.983376682,0.016063347,0.037959742,0.056784294
66,0.988099277,0.017177667,0.050633698,0.06833996
67,0.972545266,0.016153772,0.04181163,0.059952783
68,0.988801718,0.016638143,0.045601392,0.066041252
69,0.978681266,0.017406919,0.034977634,0.075173956
70,0.974507689,0.017149688,0.039202286,0.065109344
71,0.989207745,0.017150036,0.044917992,0.066476143
74,0.979167759,0.016054221,0.043116302,0.062872763
75,0.962319076,0.018484083,0.029572565,0.078156064
76,0.953807294,0.014195456,0.026217694,0.066227634
78,0.980466008,0.017867805,0.040569085,0.068029324
82,0.982859135,0.019425023,0.073123757,0.060574056
84,0.972077608,0.018421879,0.060946819,0.0618166
86,0.959300518,0.014737399,0.029137674,0.061568091
89,0.981125355,0.019405579,0.052249006,0.057032803
