run_num,model name,num epochs,epoch stop,batch size,learning rate,weight_decay,beta1,beta2,min lr,kernel size,max ch,norm ref,norm lambda,n heads,drop prob,n trans layers,attention type,loss_func,loss,loss_val,dice,loss SD,loss_val SD,dice SD,Avg Error,Avg FA rate,Avg MD rate,run time,eval run time
0,TransU_Net,120,120,64,0.000108333,1.32E-08,0.988126407,0.999677322,6.05E-11,11,128,0.01,0,4,0.2,1,Add,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.109315068,0.108513668,0.953949571,0.027817157,0.031173111,0.016816582,0.016083126,0.047713718,0.059269384,3263.732337,36.64256382
2,TransU_Net,120,120,64,0.000716734,2.92E-06,0.700308431,0.979503769,3.85E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.058333751,0.053380508,0.982455254,0.059041829,0.090585286,0.021367542,0.016346313,0.043551193,0.056722167,3270.054275,76.85724878
4,TransU_Net,120,120,64,0.00504876,1.27E-09,0.933337428,0.99471765,2.22E-08,11,128,0.01,0,4,0.2,1,Add,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.073015094,0.071574725,0.968799591,0.03365282,0.057936009,0.034920228,0.015236433,0.031498509,0.058213221,3360.444321,55.61936831
13,TransU_Net,120,120,64,0.000441171,2.27E-07,0.979011755,0.988419063,5.33E-06,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.104242057,0.099833459,0.965509534,0.050278206,0.0555685,0.010254346,0.017287332,0.050509443,0.05597664,3409.080315,39.84139156
23,TransU_Net,120,120,64,0.004692281,2.63E-06,0.773470238,0.999027689,1.54E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.046717867,0.04261617,0.98538518,0.054190044,0.030653288,0.011418341,0.016573601,0.035536779,0.057902584,3380.629404,37.92687654
24,TransU_Net,120,120,64,0.000711017,1.99E-06,0.777639462,0.999153802,1.30E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.052576248,0.049264796,0.983807206,0.066675567,0.05575776,0.007282786,0.01583972,0.040941849,0.062189364,3389.570326,44.30980062
25,TransU_Net,120,120,64,0.001631369,9.40E-05,0.812761307,0.999075707,1.10E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.093643807,0.090940289,0.969226539,0.058292682,0.038366007,0.011491921,0.015860299,0.033113817,0.058088966,3304.693846,28.03691411
26,TransU_Net,120,120,64,0.000314373,3.92E-06,0.571890307,0.99911551,1.30E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.046098523,0.041725211,0.986273289,0.063877574,0.068765238,0.013785441,0.017514071,0.051503479,0.060325547,3357.48386,37.52803326
27,TransU_Net,120,120,64,0.000281844,7.60E-06,0.553953686,0.998239422,1.35E-09,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.058689512,0.055722333,0.981102467,0.06067667,0.076937661,0.018024466,0.017224727,0.047340954,0.061692346,3317.749683,49.1376493
32,TransU_Net,120,120,64,0.000796279,7.72E-07,0.733788112,0.99631529,2.57E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.062540904,0.059300695,0.980017006,0.063620302,0.092220639,0.025486217,0.015066892,0.045042247,0.062624254,3355.000965,31.30698848
33,TransU_Net,120,120,64,0.001399014,1.70E-07,0.62268297,0.999830043,2.14E-09,11,128,0.01,0,4,0.2,1,Add,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.001264497,0.001119213,0.961363614,0.006278139,0.043700226,0.024662229,0.016307831,0.038270378,0.060511928,3293.974723,36.30766726
34,TransU_Net,120,120,64,0.000512828,8.19E-06,0.865840926,0.998305149,4.28E-08,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.047173001,0.044729508,0.984973192,0.064339203,0.073148678,0.01050293,0.016480325,0.057281312,0.05666004,3271.604672,47.70927668
36,TransU_Net,120,120,64,0.000193223,0.004265427,0.799612186,0.997230548,4.44E-09,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.052099027,0.047871761,0.988408208,0.045899133,0.076483132,0.020218108,0.01854514,0.045725646,0.062810636,3258.995684,28.954633
38,TransU_Net,120,120,64,0.000231495,0.006478995,0.806543806,0.996205489,5.00E-08,11,128,0.01,0,4,0.2,1,Add,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.093127996,0.090940155,0.967212081,0.032746994,0.063325728,0.023761923,0.016916495,0.037152087,0.061568091,3410.902269,22.1275382
41,TransU_Net,120,120,64,6.47E-05,0.002606841,0.613571773,0.998645351,1.55E-08,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.10928417,0.104121387,0.976713479,0.024599525,0.02868358,0.026815375,0.018036794,0.051130716,0.068029324,3507.140365,65.23276114
45,TransU_Net,120,120,64,8.96E-05,0.002321542,0.701438622,0.997168695,2.11E-06,11,128,0.01,0,4,0.2,1,Add,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.002638042,0.002256731,0.977992177,0.013643461,0.018468207,0.02747523,0.018573015,0.034232107,0.07554672,3504.916258,39.22964692
50,TransU_Net,120,120,64,0.00975173,6.92E-09,0.676249618,0.994615698,4.33E-10,11,128,0.01,0,4,0.2,1,Add,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.058527142,0.056809139,0.975896835,0.024629269,0.066572339,0.028695316,0.016192749,0.031747018,0.057529821,3539.978401,79.71011543
51,TransU_Net,120,120,64,0.000554058,9.91E-07,0.963167479,0.974927745,1.72E-09,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.070278555,0.066325516,0.977931023,0.057377663,0.113753517,0.022883005,0.017102653,0.052249006,0.05846173,4302.575304,78.04297709
55,TransU_Net,120,120,64,5.64E-05,4.76E-06,0.891410505,0.997924822,8.89E-06,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.120472424,0.129513606,0.957676768,0.024278294,0.012149612,0.012084466,0.02026534,0.053988569,0.058710239,4218.221052,122.7745109
59,TransU_Net,120,120,64,0.006734105,2.11E-05,0.869518777,0.998640121,7.37E-11,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.130765587,0.127956614,0.95539844,0.038802249,0.041261472,0.016106981,0.014364035,0.032244036,0.060387674,4193.454064,39.75773978
61,TransU_Net,120,120,64,0.000610725,0.000357357,0.822494716,0.981820529,1.85E-11,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.073966086,0.070836142,0.977421761,0.058698951,0.070246072,0.015183937,0.015722384,0.039512922,0.061195328,4196.35919,58.90079021
63,TransU_Net,120,120,64,0.001218961,1.00E-09,0.723984062,0.999784254,2.15E-10,11,128,0.01,0,4,0.2,1,Add,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.000612969,0.000547882,0.97046715,0.006179971,0.010110029,0.015853783,0.016566228,0.043737575,0.057281312,4196.36574,64.81306267
64,TransU_Net,120,120,64,0.003447601,5.76E-05,0.91313382,0.999491131,8.56E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.128379956,0.125336826,0.956520796,0.04519217,0.03853357,0.015138027,0.015596278,0.028702783,0.057654076,4193.245104,61.19242072
65,TransU_Net,120,120,64,0.004757757,2.46E-06,0.777365915,0.99912244,1.67E-10,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.053277843,0.049910799,0.983376682,0.045003543,0.060659146,0.018484306,0.016063347,0.037959742,0.056784294,4208.370838,54.71740079
66,TransU_Net,120,120,64,0.000249168,1.68E-05,0.563954112,0.998968852,2.90E-11,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.041344441,0.037388884,0.988099277,0.053680472,0.123032558,0.032609222,0.017177667,0.050633698,0.06833996,4207.667888,49.18815255
67,TransU_Net,120,101,64,0.00038523,0.00078346,0.561317966,0.997332241,1.22E-11,11,128,0.01,0,4,0.2,1,Add,CrossEntropyLoss(),0.090566799,0.083291471,0.972545266,0.082717285,0.211007969,0.337501975,0.016153772,0.04181163,0.059952783,3542.497042,46.31880689
