run_num,dice,Avg Error,Avg FA rate,Avg MD rate
0,0.9874,0.0165,0.0532,0.0659
2,0.9593,0.0172,0.0332,0.0681
12,0.9869,0.0157,0.0456,0.0622
13,0.9694,0.0176,0.0380,0.0685
16,0.9734,0.0169,0.0425,0.0539
21,0.9815,0.0167,0.0440,0.0660
22,0.9871,0.0168,0.0530,0.0654
23,0.9843,0.0175,0.0467,0.0654
25,0.9873,0.0181,0.0494,0.0636
26,0.9821,0.0188,0.0486,0.0617
29,0.9870,0.0152,0.0462,0.0642
30,0.9811,0.0185,0.0479,0.0683
32,0.9839,0.0171,0.0478,0.0611
36,0.9849,0.0171,0.0490,0.0590
39,0.9679,0.0165,0.0400,0.0568
40,0.9779,0.0161,0.0514,0.0550
43,0.9723,0.0155,0.0463,0.0627
44,0.9561,0.0153,0.0328,0.0605
46,0.9836,0.0175,0.0527,0.0618
48,0.9751,0.0146,0.0423,0.0600
51,0.9681,0.0157,0.0390,0.0588
55,0.9806,0.0154,0.0480,0.0595
57,0.9773,0.0184,0.0447,0.0682
61,0.9745,0.0164,0.0404,0.0596
64,0.9826,0.0162,0.0467,0.0655
65,0.9881,0.0177,0.0444,0.0676
66,0.9879,0.0183,0.0449,0.0639
67,0.9872,0.0166,0.0440,0.0666
68,0.9792,0.0167,0.0451,0.0649
69,0.9722,0.0182,0.0344,0.0706
70,0.9764,0.0167,0.0472,0.0572
71,0.9816,0.0182,0.0378,0.0721
72,0.9761,0.0190,0.0455,0.0671
73,0.9833,0.0167,0.0441,0.0590
75,0.9801,0.0172,0.0425,0.0641
77,0.9874,0.0155,0.0473,0.0617
78,0.9624,0.0146,0.0422,0.0588
79,0.9577,0.0155,0.0248,0.0798
82,0.9880,0.0172,0.0499,0.0593
83,0.9886,0.0184,0.0463,0.0677
84,0.9833,0.0173,0.0490,0.0626
85,0.9887,0.0173,0.0452,0.0663
86,0.9823,0.0184,0.0308,0.0714
87,0.9757,0.0185,0.0333,0.0767
89,0.9564,0.0161,0.0191,0.0973
90,0.9894,0.0191,0.0484,0.0709
